,Day,GHIP,GHIP2,GHIP3
126,127,21798000,22525200,24584400
127,128,25477200,21798000,22525200
128,129,25653600,25477200,21798000
129,130,26128800,25653600,25477200
130,131,22302000,26128800,25653600
131,132,21614400,22302000,26128800
132,133,19774800,21614400,22302000
133,134,21826800,19774800,21614400
134,135,23626800,21826800,19774800
135,136,26348400,23626800,21826800
136,137,25909200,26348400,23626800
137,138,24969600,25909200,26348400
138,139,26254800,24969600,25909200
139,140,26683200,26254800,24969600
140,141,26701200,26683200,26254800
141,142,26784000,26701200,26683200
142,143,26812800,26784000,26701200
143,144,23778000,26812800,26784000
144,145,26236800,23778000,26812800
145,146,26946000,26236800,23778000
146,147,26938800,26946000,26236800
147,148,26949600,26938800,26946000
148,149,26938800,26949600,26938800
149,150,26928000,26938800,26949600
150,151,25315200,26928000,26938800
151,152,26611200,25315200,26928000
152,153,21024000,26611200,25315200
153,154,25059600,21024000,26611200
154,155,25106400,25059600,21024000
155,156,25102800,25106400,25059600
156,157,25099200,25102800,25106400
157,158,25088400,25099200,25102800
158,159,24894000,25088400,25099200
159,160,24678000,24894000,25088400
160,161,24667200,24678000,24894000
161,162,25113600,24667200,24678000
162,163,25038000,25113600,24667200
163,164,17150400,25038000,25113600
164,165,18799200,17150400,25038000
165,166,17118000,18799200,17150400
166,167,22507200,17118000,18799200
167,168,24757200,22507200,17118000
168,169,23464800,24757200,22507200
169,170,24980400,23464800,24757200
170,171,24159600,24980400,23464800
171,172,24832800,24159600,24980400
172,173,22683600,24832800,24159600
173,174,24775200,22683600,24832800
174,175,18763200,24775200,22683600
175,176,23410800,18763200,24775200
176,177,20970000,23410800,18763200
177,178,21996000,20970000,23410800
178,179,24962400,21996000,20970000
179,180,22298400,24962400,21996000
180,181,23785200,22298400,24962400
181,182,22449600,23785200,22298400
182,183,21074400,22449600,23785200
183,184,18496800,21074400,22449600
184,185,15732000,18496800,21074400
185,186,23634000,15732000,18496800
186,187,22870800,23634000,15732000
187,188,16653600,22870800,23634000
188,189,24566400,16653600,22870800
189,190,24516000,24566400,16653600
190,191,24580800,24516000,24566400
191,192,24379200,24580800,24516000
192,193,25030800,24379200,24580800
193,194,24422400,25030800,24379200
194,195,17755200,24422400,25030800
195,196,20581200,17755200,24422400
196,197,23180400,20581200,17755200
197,198,19832400,23180400,20581200
198,199,19098000,19832400,23180400
199,200,8618400,19098000,19832400
200,201,20469600,8618400,19098000
201,202,20235600,20469600,8618400
202,203,22485600,20235600,20469600
203,204,16099200,22485600,20235600
204,205,15274800,16099200,22485600
205,206,16934400,15274800,16099200
206,207,16279200,16934400,15274800
207,208,20912400,16279200,16934400
208,209,22132800,20912400,16279200
209,210,18133200,22132800,20912400
210,211,19130400,18133200,22132800
211,212,21420000,19130400,18133200
212,213,17708400,21420000,19130400
213,214,23742000,17708400,21420000
214,215,12369600,23742000,17708400
215,216,21700800,12369600,23742000
216,217,19620000,21700800,12369600
217,218,14670000,19620000,21700800
218,219,17906400,14670000,19620000
219,220,17902800,17906400,14670000
220,221,17100000,17902800,17906400
221,222,20502000,17100000,17902800
222,223,10818000,20502000,17100000
223,224,22172400,10818000,20502000
224,225,23554800,22172400,10818000
225,226,23180400,23554800,22172400
226,227,23382000,23180400,23554800
227,228,20570400,23382000,23180400
228,229,18043200,20570400,23382000
229,230,23252400,18043200,20570400
230,231,23133600,23252400,18043200
231,232,22964400,23133600,23252400
232,233,23896800,22964400,23133600
233,234,24303600,23896800,22964400
234,235,24145200,24303600,23896800
235,236,24055200,24145200,24303600
236,237,24019200,24055200,24145200
237,238,23922000,24019200,24055200
238,239,23360400,23922000,24019200
239,240,23468400,23360400,23922000
240,241,16556400,23468400,23360400
241,242,16790400,16556400,23468400
242,243,12931200,16790400,16556400
243,244,9662400,12931200,16790400
244,245,22834800,9662400,12931200
245,246,15850800,22834800,9662400
246,247,15217200,15850800,22834800
247,248,13860000,15217200,15850800
248,249,13446000,13860000,15217200
249,250,18216000,13446000,13860000
250,251,21628800,18216000,13446000
251,252,21830400,21628800,18216000
252,253,19951200,21830400,21628800
253,254,16005600,19951200,21830400
254,255,10450800,16005600,19951200
255,256,22086000,10450800,16005600
256,257,22780800,22086000,10450800
257,258,21564000,22780800,22086000
258,259,22482000,21564000,22780800
259,260,21196800,22482000,21564000
260,261,22172400,21196800,22482000
261,262,22294800,22172400,21196800
262,263,22215600,22294800,22172400
263,264,21351600,22215600,22294800
264,265,22014000,21351600,22215600
265,266,21920400,22014000,21351600
266,267,21913200,21920400,22014000
267,268,21708000,21913200,21920400
268,269,21445200,21708000,21913200
269,270,20678400,21445200,21708000
270,271,20350800,20678400,21445200
271,272,20919600,20350800,20678400
272,273,20505600,20919600,20350800
273,274,20570400,20505600,20919600
274,275,19148400,20570400,20505600
275,276,18324000,19148400,20570400
276,277,18666000,18324000,19148400
277,278,18939600,18666000,18324000
278,279,18864000,18939600,18666000
279,280,18759600,18864000,18939600
280,281,18378000,18759600,18864000
281,282,18086400,18378000,18759600
282,283,18612000,18086400,18378000
283,284,18511200,18612000,18086400
284,285,18342000,18511200,18612000
285,286,18190800,18342000,18511200
286,287,16776000,18190800,18342000
287,288,13035600,16776000,18190800
288,289,15598800,13035600,16776000
289,290,17604000,15598800,13035600
290,291,17420400,17604000,15598800
291,292,17244000,17420400,17604000
292,293,17046000,17244000,17420400
293,294,16621200,17046000,17244000
294,295,17535600,16621200,17046000
295,296,16671600,17535600,16621200
296,297,16304400,16671600,17535600
297,298,16095600,16304400,16671600
